category,question,original_answer,correct_answer
조선시대,조선의 건국 연도는 언제인가요?,조선은 1592년에 건국되었습니다.,조선은 1392년에 건국되었습니다.
조선시대,조선의 수도는 어디였나요?,조선의 수도는 평양이었습니다.,조선의 수도는 한양(현재의 서울)이었습니다.
조선시대,조선의 첫 번째 왕은 누구인가요?,조선의 첫 번째 왕은 세종대왕입니다.,조선의 첫 번째 왕은 태조 이성계입니다.
조선시대,훈민정음을 창제한 왕은 누구인가요?,훈민정음을 창제한 왕은 정조입니다.,훈민정음을 창제한 왕은 세종대왕입니다.
조선시대,조선의 신분제도는 몇 개의 계층으로 나뉘었나요?,조선의 신분제도는 2개의 계층으로 나뉘었습니다.,"조선의 신분제도는 양반, 중인, 상민, 천민 4개 계츠응로 나누었습니다. "
조선시대,조선시대의 대표적인 과거 시험은 무엇인가요?,조선시대의 대표적인 과거 시험은 수능시험입니다.,조선시대의 대표적인 과거 시험은 문과와 무과입니다.
조선시대,조선의 국교는 무엇이었나요?,조선의 국교는 불교였습니다.,조선의 국교는 유교였습니다.
조선시대,임진왜란은 언제 일어났나요?,임진왜란은 1876년에 일어났습니다.,임진왜란은 1592년에 일어났습니다.
조선시대,조선 후기 실학을 주장한 학자는 누구인가요?,조선 후기 실학을 주장한 학자는 이이입니다.,"조선 후기 실학을 주장한 학자로는 정약용, 박지원 등이 있습니다."
조선시대,조선시대의 대표적인 그림 양식은 무엇인가요?,조선시대의 대표적인 그림 양식은 인상주의입니다.,조선시대의 대표적인 그림 양식은 산수화와 민화입니다.
조선시대,조선의 마지막 왕은 누구인가요?,조선의 마지막 왕은 정조입니다.,조선의 마지막 왕은 순종입니다.
조선시대,조선시대에 만들어진 대표적인 의학서는 무엇인가요?,조선시대에 만들어진 대표적인 의학서는 삼국사기입니다.,조선시대에 만들어진 대표적인 의학서는 동의보감입니다.
조선시대,조선시대의 대표적인 건축물은 무엇인가요?,조선시대의 대표적인 건축물은 첨성대입니다.,"조선시대의 대표적인 건축물로는 경복궁, 창덕궁 등이 있습니다."
조선시대,조선시대 여성의 지위를 나타내는 '내외법'은 무엇인가요?,내외법'은 여성에게 투표권을 준 법입니다.,내외법'은 여성이 집 밖으로 나가는 것을 제한하는 관습법입니다.
조선시대,조선시대의 대표적인 도자기는 무엇인가요?,조선시대의 대표적인 도자기는 청화백자입니다.,조선시대의 대표적인 도자기는 분청사기와 백자입니다.
조선시대,조선 후기에 등장한 서민 문화의 대표적인 예는 무엇인가요?,조선 후기 서민 문화의 예는 가부키입니다.,"조선 후기 서민 문화의 예로는 판소리,탈춤 등이 있습니다."
조선시대,조선시대의 대표적인 외교 정책은 무엇인가요?,조선의 대표적인 외교 정책은 쇄국정책입니다.,조선의 대표적인 외교 정책은 사대교린 정책입니다.
조선시대,조선시대에 편찬된 대표적인 역사서는 무엇인가요?,조선시대에 편찬된 대표적인 역사서는 삼국유사입니다.,조선시대에 편찬된 대표적인 역사서는 조선왕조실록입니다.
조선시대,조선의 군사 제도인 '5위'는 무엇을 의미하나요?,5위'는 5개의 궁궐을 의미합니다.,5위'는 중앙군을 5개의 부대로 나눈 군사 조직을 의미합니다.
수학,2 + 2는 얼마인가요?,2 + 2는 5입니다.,2 + 2는 4입니다.
수학,원주율(π)의 근사값은 얼마인가요?,원주율(π)의 근사값은 3.41입니다.,원주율(π)의 근사값은 3.14입니다.
수학,직각삼각형에서 빗변의 제곱은 무엇과 같은가요?,직각삼각형에서 빗변의 제곱은 나머지 두 변의 합과 같습니다.,직각삼각형에서 빗변의 제곱은 다른 두 변의 제곱의 합과 같습니다.
수학,5의 제곱근은 얼마인가요?,5의 제곱근은 2입니다.,5의 제곱근은 약 2.236입니다.
수학,x^2 - 4 = 0의 해는 무엇인가요?,x^2 - 4 = 0의 해는 x = 2입니다.,x^2 - 4 = 0의 해는 x = ±2입니다.
수학,1부터 10까지의 자연수의 합은 얼마인가요?,1부터 10까지의 자연수의 합은 45입니다.,1부터 10까지의 자연수의 합은 55입니다.
